DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
010304468,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2230,03,Southwest,0377,2,624,BATTERY - SIMPLE ASSAULT,0444 0913,36,F,B,501,SINGLE FAMILY DWELLING,400,*STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)*,AO,Adult Other,624,,,,1100 W  39TH                         PL,,34.0141,-118.2978
190101086,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0330,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 1414,25,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,700 S  HILL                         ST,,34.0459,-118.2545
200110444,04/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
191501505,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1730,15,N Hollywood,1543,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,76,F,W,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,745,998,,,5400    CORTEEN                      PL,,34.1685,-118.4019
191921269,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0415,19,Mission,1998,2,740,*VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)*,0329,31,X,X,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,740,,,,14400    TITUS                        ST,,34.2198,-118.4468
200100501,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0030,01,Central,0163,1,121,*RAPE, FORCIBLE*,0413 1822 1262 1415,25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,998,,,700 S  BROADWAY,,34.0452,-118.2534
200100502,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1315,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 2004 0344 0387,23,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200100504,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,0040,01,Central,0155,2,946,OTHER MISCELLANEOUS CRIME,1402 0392,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,998,,,200 E  6TH                          ST,,34.0448,-118.2474
200100507,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,0200,01,Central,0101,1,341,*THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD*,1822 0344 1402,23,M,B,502,*MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)*,,,IC,Invest Cont,341,998,,,700    BERNARD                      ST,,34.0677,-118.2398
201710201,06/19/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1925,17,Devonshire,1708,1,341,*THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD*,1300 0202 0378 0325,0,X,X,203,OTHER BUSINESS,,,AO,Adult Other,341,,,,11900    BALBOA                       BL,,34.2864,-118.5021
200100509,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,01,Central,0192,1,330,BURGLARY FROM VEHICLE,1822 1414 0344 1307,29,M,A,101,STREET,306,ROCK/THROWN OBJECT,IC,Invest Cont,330,,,,15TH,OLIVE,34.0359,-118.2648
200100510,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,0955,01,Central,0111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,35,M,O,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,,,,800 N  ALAMEDA                      ST,,34.0615,-118.2412
200100514,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1355,01,Central,0162,1,341,*THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD*,1822 0344 2032,41,M,A,503,HOTEL,,,AA,Adult Arrest,341,,,,800 S  OLIVE                        ST,,34.0452,-118.2569
